,,,,,,,,,,,,,,,
Query Results,,,,,,,,,,,,,,,
Agar.io,,,,,,,,,,,,,,,
Gaming Talk Shows,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Rocket League,,,,,,,,,,,,,,,
World of Tanks,,,,,,,,,,,,,,,
ARK: Survival Evolved,,,,,,,,,,,,,,,
SpeedRunners,,,,,,,,,,,,,,,
Breaking Point,,,,,,,,,,,,,,,
Duck Game,,,,,,,,,,,,,,,
Devil May Cry 4: Special Edition,,,,,,,,,,,,,,,
Block N Load,,,,,,,,,,,,,,,
Fallout 3,,,,,,,,,,,,,,,
Batman: Arkham Knight,,,,,,,,,,,,,,,
channel,,,,,,,,,,,,,,,
frank,,,,,,,,,,,,,,,
george,,,,,,,,,,,,,,,
estelle,,,,,,,,,,,,,,,
morty,,,,,,,,,,,,,,,
kramer,,,,,,,,,,,,,,,
jerry,,,,,,,,,,,,,,,
helen,,,,,,,,,,,,,,,
newman,,,,,,,,,,,,,,,
elaine,,,,,,,,,,,,,,,
susan,,,,,,,,,,,,,,,
game,num_viewers,,,,,,,,,,,,,,
League of Legends,1070,,,,,,,,,,,,,,
Dota 2,472,,,,,,,,,,,,,,
Counter-Strike: Global Offensive,302,,,,,,,,,,,,,,
DayZ,239,,,,,,,,,,,,,,
Heroes of the Storm,210,,,,,,,,,,,,,,
The Binding of Isaac: Rebirth,171,,,,,,,,,,,,,,
Gaming Talk Shows,170,,,,,,,,,,,,,,
Hearthstone: Heroes of Warcraft,90,,,,,,,,,,,,,,
World of Tanks,86,,,,,,,,,,,,,,
Agar.io,71,,,,,,,,,,,,,,
Rocket League,49,,,,,,,,,,,,,,
SpeedRunners,20,,,,,,,,,,,,,,
ARK: Survival Evolved,19,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,
Duck Game,5,,,,,,,,,,,,,,
Fallout 3,3,,,,,,,,,,,,,,
Batman: Arkham Knight,3,,,,,,,,,,,,,,
Breaking Point,2,,,,,,,,,,,,,,
Block N Load,2,,,,,,,,,,,,,,
Devil May Cry 4: Special Edition,1,,,,,,,,,,,,,,
country,num_viewers,,,,,,,,,,,,,,
US,447,,,,,,,,,,,,,,
DE,66,,,,,,,,,,,,,,
CA,64,,,,,,,,,,,,,,
,49,,,,,,,,,,,,,,
GB,45,,,,,,,,,,,,,,
TR,28,,,,,,,,,,,,,,
BR,25,,,,,,,,,,,,,,
DK,20,,,,,,,,,,,,,,
PL,19,,,,,,,,,,,,,,
NL,17,,,,,,,,,,,,,,
BE,17,,,,,,,,,,,,,,
SE,16,,,,,,,,,,,,,,
RO,16,,,,,,,,,,,,,,
MX,16,,,,,,,,,,,,,,
PT,15,,,,,,,,,,,,,,
FR,15,,,,,,,,,,,,,,
AU,15,,,,,,,,,,,,,,
NO,13,,,,,,,,,,,,,,
IT,13,,,,,,,,,,,,,,
GR,10,,,,,,,,,,,,,,
ES,10,,,,,,,,,,,,,,
TW,9,,,,,,,,,,,,,,
RS,7,,,,,,,,,,,,,,
LT,7,,,,,,,,,,,,,,
RU,6,,,,,,,,,,,,,,
NZ,6,,,,,,,,,,,,,,
HR,6,,,,,,,,,,,,,,
HK,6,,,,,,,,,,,,,,
CZ,6,,,,,,,,,,,,,,
SG,5,,,,,,,,,,,,,,
FI,5,,,,,,,,,,,,,,
BG,5,,,,,,,,,,,,,,
AR,5,,,,,,,,,,,,,,
PR,4,,,,,,,,,,,,,,
IE,4,,,,,,,,,,,,,,
HU,4,,,,,,,,,,,,,,
AT,4,,,,,,,,,,,,,,
SK,3,,,,,,,,,,,,,,
JP,3,,,,,,,,,,,,,,
AE,3,,,,,,,,,,,,,,
VE,2,,,,,,,,,,,,,,
MA,2,,,,,,,,,,,,,,
EE,2,,,,,,,,,,,,,,
CN,2,,,,,,,,,,,,,,
BA,2,,,,,,,,,,,,,,
UA,1,,,,,,,,,,,,,,
TN,1,,,,,,,,,,,,,,
SI,1,,,,,,,,,,,,,,
PS,1,,,,,,,,,,,,,,
PH,1,,,,,,,,,,,,,,
PE,1,,,,,,,,,,,,,,
OM,1,,,,,,,,,,,,,,
NG,1,,,,,,,,,,,,,,
MY,1,,,,,,,,,,,,,,
MT,1,,,,,,,,,,,,,,
MO,1,,,,,,,,,,,,,,
MK,1,,,,,,,,,,,,,,
KW,1,,,,,,,,,,,,,,
KR,1,,,,,,,,,,,,,,
JM,1,,,,,,,,,,,,,,
ID,1,,,,,,,,,,,,,,
GY,1,,,,,,,,,,,,,,
GP,1,,,,,,,,,,,,,,
GE,1,,,,,,,,,,,,,,
EG,1,,,,,,,,,,,,,,
DO,1,,,,,,,,,,,,,,
CY,1,,,,,,,,,,,,,,
CR,1,,,,,,,,,,,,,,
CL,1,,,,,,,,,,,,,,
BB,1,,,,,,,,,,,,,,
AL,1,,,,,,,,,,,,,,
player,num_viewers,,,,,,,,,,,,,,
site,1365,,,,,,,,,,,,,,
iphone_t,622,,,,,,,,,,,,,,
android,547,,,,,,,,,,,,,,
ipad_t,290,,,,,,,,,,,,,,
embed,125,,,,,,,,,,,,,,
xbox_one,22,,,,,,,,,,,,,,
home,16,,,,,,,,,,,,,,
amazon,6,,,,,,,,,,,,,,
frontpage,4,,,,,,,,,,,,,,
xbox360,1,,,,,,,,,,,,,,
roku,1,,,,,,,,,,,,,,
chromecast,1,,,,,,,,,,,,,,
game,genre,num_views,,,,,,,,,,,,,
League of Legends,MOBA,1070,,,,,,,,,,,,,
Dota 2,MOBA,472,,,,,,,,,,,,,
Counter-Strike: Global Offensive,FPS,302,,,,,,,,,,,,,
DayZ,Survival,239,,,,,,,,,,,,,
Heroes of the Storm,MOBA,210,,,,,,,,,,,,,
The Binding of Isaac: Rebirth,Other,171,,,,,,,,,,,,,
Gaming Talk Shows,Other,170,,,,,,,,,,,,,
Hearthstone: Heroes of Warcraft,Other,90,,,,,,,,,,,,,
World of Tanks,Other,86,,,,,,,,,,,,,
Agar.io,Other,71,,,,,,,,,,,,,
Rocket League,Other,49,,,,,,,,,,,,,
SpeedRunners,Other,20,,,,,,,,,,,,,
ARK: Survival Evolved,Survival,19,,,,,,,,,,,,,
,Other,15,,,,,,,,,,,,,
Duck Game,Other,5,,,,,,,,,,,,,
Fallout 3,Other,3,,,,,,,,,,,,,
Batman: Arkham Knight,Other,3,,,,,,,,,,,,,
Breaking Point,Other,2,,,,,,,,,,,,,
Block N Load,Other,2,,,,,,,,,,,,,
Devil May Cry 4: Special Edition,Other,1,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,
2015-01-01 18:33:52,,,,,,,,,,,,,,,
2015-01-01 23:35:33,,,,,,,,,,,,,,,
2015-01-01 4:39:38,,,,,,,,,,,,,,,
2015-01-01 11:15:30,,,,,,,,,,,,,,,
2015-01-01 11:28:19,,,,,,,,,,,,,,,
2015-01-01 23:27:36,,,,,,,,,,,,,,,
2015-01-01 21:09:23,,,,,,,,,,,,,,,
2015-01-01 19:14:27,,,,,,,,,,,,,,,
2015-01-01 13:51:04,,,,,,,,,,,,,,,
2015-01-01 22:00:14,,,,,,,,,,,,,,,
time,seconds,,,,,,,,,,,,,,
2015-01-01 0:00:46,46,,,,,,,,,,,,,,
2015-01-01 0:01:11,11,,,,,,,,,,,,,,
2015-01-01 0:01:39,39,,,,,,,,,,,,,,
2015-01-01 0:03:17,17,,,,,,,,,,,,,,
2015-01-01 0:03:20,20,,,,,,,,,,,,,,
2015-01-01 0:06:21,21,,,,,,,,,,,,,,
2015-01-01 0:07:48,48,,,,,,,,,,,,,,
2015-01-01 0:09:47,47,,,,,,,,,,,,,,
2015-01-01 0:09:57,57,,,,,,,,,,,,,,
2015-01-01 0:10:13,13,,,,,,,,,,,,,,
2015-01-01 0:10:47,47,,,,,,,,,,,,,,
2015-01-01 0:11:10,10,,,,,,,,,,,,,,
2015-01-01 0:11:24,24,,,,,,,,,,,,,,
2015-01-01 0:12:16,16,,,,,,,,,,,,,,
2015-01-01 0:12:27,27,,,,,,,,,,,,,,
2015-01-01 0:13:08,8,,,,,,,,,,,,,,
2015-01-01 0:13:52,52,,,,,,,,,,,,,,
2015-01-01 0:14:50,50,,,,,,,,,,,,,,
2015-01-01 0:14:55,55,,,,,,,,,,,,,,
2015-01-01 0:16:50,50,,,,,,,,,,,,,,
hour,views_per_hour,,,,,,,,,,,,,,
0,30,,,,,,,,,,,,,,
1,17,,,,,,,,,,,,,,
2,34,,,,,,,,,,,,,,
3,29,,,,,,,,,,,,,,
4,19,,,,,,,,,,,,,,
5,14,,,,,,,,,,,,,,
6,3,,,,,,,,,,,,,,
7,2,,,,,,,,,,,,,,
8,4,,,,,,,,,,,,,,
9,9,,,,,,,,,,,,,,
10,5,,,,,,,,,,,,,,
11,48,,,,,,,,,,,,,,
12,62,,,,,,,,,,,,,,
13,58,,,,,,,,,,,,,,
14,40,,,,,,,,,,,,,,
15,51,,,,,,,,,,,,,,
16,69,,,,,,,,,,,,,,
17,55,,,,,,,,,,,,,,
18,76,,,,,,,,,,,,,,
19,81,,,,,,,,,,,,,,
20,102,,,,,,,,,,,,,,
21,120,,,,,,,,,,,,,,
22,71,,,,,,,,,,,,,,
23,63,,,,,,,,,,,,,,
time,device_id,login,channel,country,player,game,stream_format,subscriber,time,device_id,login,channel,country,player,game
2015-01-01 15:48:24,97144e4bab2163d35dd88e6ec804436e8cdddd3d,4bbf4aa9f0abb1902d16555202f7ce61fc607305,frank,,iphone_t,League of Legends,,,2015-01-01 22:37:23,97144e4bab2163d35dd88e6ec804436e8cdddd3d,4bbf4aa9f0abb1902d16555202f7ce61fc607305,frank,,iphone_t,League of Legends
2015-01-01 13:42:19,0c0f18b28971fa084091fbc052a2c8bd8b52d45c,139700a8682c81be4e5c0e6eebc6f95f371dae88,helen,US,site,Hearthstone: Heroes of Warcraft,medium,TRUE,2015-01-01 12:43:09,0c0f18b28971fa084091fbc052a2c8bd8b52d45c,139700a8682c81be4e5c0e6eebc6f95f371dae88,helen,US,,Hearthstone: Heroes of Warcraft
2015-01-01 14:47:33,0b55e56d60d8ebfb5dc343f601b880ad1cfb9b4e,bc9f7aebecaee6d1ba50a467f2e92e65e600e71a,morty,TW,android,Heroes of the Storm,,,2015-01-01 13:26:15,0b55e56d60d8ebfb5dc343f601b880ad1cfb9b4e,bc9f7aebecaee6d1ba50a467f2e92e65e600e71a,morty,TW,android,Heroes of the Storm
2015-01-01 2:08:59,bc2410453dd66d5be0167ad9b56223c2e6da66ac,9dd24b6098a57c84e5063500898f21c28cb7eed9,susan,RU,ipad_t,World of Tanks,,,2015-01-01 0:17:59,bc2410453dd66d5be0167ad9b56223c2e6da66ac,9dd24b6098a57c84e5063500898f21c28cb7eed9,susan,RU,ipad_t,World of Tanks
2015-01-01 3:16:28,04776eb4135dd9393e3d357b0a80b0c36b206543,bb577ad24dd3aa517e3bfac508bb090e756857e0,frank,,iphone_t,League of Legends,,,2015-01-01 4:04:26,04776eb4135dd9393e3d357b0a80b0c36b206543,bb577ad24dd3aa517e3bfac508bb090e756857e0,frank,,iphone_t,League of Legends
2015-01-01 11:51:31,8db592832a353ad618ed642aeb5bf1d52191c115,bcbfb276445ee25d7274679fda545291fc22c56e,susan,RU,android,World of Tanks,,,2015-01-01 7:12:49,8db592832a353ad618ed642aeb5bf1d52191c115,bcbfb276445ee25d7274679fda545291fc22c56e,susan,RU,android,World of Tanks
2015-01-01 11:51:31,8db592832a353ad618ed642aeb5bf1d52191c115,bcbfb276445ee25d7274679fda545291fc22c56e,susan,RU,android,World of Tanks,,,2015-01-01 7:44:54,8db592832a353ad618ed642aeb5bf1d52191c115,bcbfb276445ee25d7274679fda545291fc22c56e,susan,RU,android,World of Tanks
2015-01-01 11:51:31,8db592832a353ad618ed642aeb5bf1d52191c115,bcbfb276445ee25d7274679fda545291fc22c56e,susan,RU,android,World of Tanks,,,2015-01-01 9:01:47,8db592832a353ad618ed642aeb5bf1d52191c115,bcbfb276445ee25d7274679fda545291fc22c56e,susan,RU,android,World of Tanks
2015-01-01 11:40:18,197b897028cdd9707b14bfe8091fd48725b7fea3,d80669ed70d6dd22a0e41e5051434fc811cad03a,estelle,ID,iphone_t,Dota 2,,,2015-01-01 13:00:31,197b897028cdd9707b14bfe8091fd48725b7fea3,d80669ed70d6dd22a0e41e5051434fc811cad03a,estelle,ID,iphone_t,Dota 2
2015-01-01 2:15:52,3e6db5a384fdda05d62831df8208c96d5194fa26,6016d402340ccd86367deefb8de3f4516482827d,frank,US,iphone_t,League of Legends,,,2015-01-01 3:58:23,3e6db5a384fdda05d62831df8208c96d5194fa26,6016d402340ccd86367deefb8de3f4516482827d,frank,US,iphone_t,League of Legends
,,,,,,,,,,,,,,,
Database Schema,,,,,,,,,,,,,,,
chat,,,,,,,,,,,,,,,
name,type,,,,,,,,,,,,,,
time,DATETIME,,,,,,,,,,,,,,
device_id,TEXT,,,,,,,,,,,,,,
login,TEXT,,,,,,,,,,,,,,
channel,TEXT,,,,,,,,,,,,,,
country,TEXT,,,,,,,,,,,,,,
player,TEXT,,,,,,,,,,,,,,
game,TEXT,,,,,,,,,,,,,,
Rows: 3001,,,,,,,,,,,,,,,
stream,,,,,,,,,,,,,,,
name,type,,,,,,,,,,,,,,
time,DATETIME,,,,,,,,,,,,,,
device_id,TEXT,,,,,,,,,,,,,,
login,TEXT,,,,,,,,,,,,,,
channel,TEXT,,,,,,,,,,,,,,
country,TEXT,,,,,,,,,,,,,,
player,TEXT,,,,,,,,,,,,,,
game,TEXT,,,,,,,,,,,,,,
stream_format,TEXT,,,,,,,,,,,,,,
subscriber,TEXT,,,,,,,,,,,,,,
Rows: 3000,,,,,,,,,,,,,,,
